Threshold,c1 value,c2 value,c3 value
0.010111,-1,1.6905e-30,1
0.010112,-1,1.7022e-30,1
0.010113,-1,1.714e-30,1
0.010114,-1,1.7259e-30,1
0.010115,-1,1.7379e-30,1
0.010116,-1,1.7499e-30,1
0.010117,-1,1.7621e-30,1
0.010118,-1,1.7743e-30,1
0.010119,-1,1.7866e-30,1
0.01012,-1,1.799e-30,1
0.010121,-1,1.8114e-30,1
0.010122,-1,1.824e-30,1
0.010123,-1,1.8366e-30,1
0.010124,-1,1.8494e-30,1
0.010125,-1,1.8622e-30,1
0.010126,-1,1.8751e-30,1
0.010128,-1,1.8881e-30,1
0.010129,-1,1.9012e-30,1
0.01013,-1,1.9144e-30,1
0.010131,-1,1.9277e-30,1
0.010132,-1,1.941e-30,1
0.010133,-1,1.9545e-30,1
0.010134,-1,1.968e-30,1
0.010135,-1,1.9817e-30,1
0.010136,-1,1.9954e-30,1
0.010137,-1,2.0092e-30,1
0.010138,-1,2.0232e-30,1
0.010139,-1,2.0372e-30,1
0.01014,-1,2.0513e-30,1
0.010141,-1,2.0655e-30,1
0.010142,-1,2.0798e-30,1
0.010143,-1,2.0943e-30,1
0.010144,-1,2.1088e-30,1
0.010145,-1,2.1234e-30,1
0.010146,-1,2.1381e-30,1
0.010147,-1,2.1529e-30,1
0.010148,-1,2.1679e-30,1
0.010149,-1,2.1829e-30,1
0.01015,-1,2.198e-30,1
0.010151,-1,2.2133e-30,1
0.010152,-1,2.2286e-30,1
0.010153,-1,2.2441e-30,1
0.010154,-1,2.2596e-30,1
0.010155,-1,2.2753e-30,1
0.010156,-1,2.2911e-30,1
0.010157,-1,2.3069e-30,1
0.010158,-1,2.3229e-30,1
0.010159,-1,2.339e-30,1
0.01016,-1,2.3553e-30,1
0.010161,-1,2.3716e-30,1
0.010162,-1,2.388e-30,1
0.010163,-1,2.4046e-30,1
0.010164,-1,2.4212e-30,1
0.010165,-1,2.438e-30,1
0.010167,-1,2.4549e-30,1
0.010168,-1,2.4719e-30,1
0.010169,-1,2.4891e-30,1
0.01017,-1,2.5063e-30,1
0.010171,-1,2.5237e-30,1
0.010172,-1,2.5412e-30,1
0.010173,-1,2.5588e-30,1
0.010174,-1,2.5766e-30,1
0.010175,-1,2.5944e-30,1
0.010176,-1,2.6124e-30,1
0.010177,-1,2.6305e-30,1
0.010178,-1,2.6488e-30,1
0.010179,-1,2.6671e-30,1
0.01018,-1,2.6856e-30,1
0.010181,-1,2.7042e-30,1
0.010182,-1,2.723e-30,1
0.010183,-1,2.7419e-30,1
0.010184,-1,2.7609e-30,1
0.010185,-1,2.78e-30,1
0.010186,-1,2.7993e-30,1
0.010187,-1,2.8187e-30,1
0.010188,-1,2.8382e-30,1
0.010189,-1,2.8579e-30,1
0.01019,-1,2.8777e-30,1
0.010191,-1,2.8977e-30,1
0.010192,-1,2.9177e-30,1
0.010193,-1,2.938e-30,1
0.010194,-1,2.9583e-30,1
0.010195,-1,2.9788e-30,1
0.010196,-1,2.9995e-30,1
0.010198,-1,3.0203e-30,1
0.010199,-1,3.0412e-30,1
0.0102,-1,3.0623e-30,1
0.010201,-1,3.0835e-30,1
0.010202,-1,3.1049e-30,1
0.010203,-1,3.1264e-30,1
0.010204,-1,3.1481e-30,1
0.010205,-1,3.1699e-30,1
0.010206,-1,3.1919e-30,1
0.010207,-1,3.214e-30,1
0.010208,-1,3.2363e-30,1
0.010209,-1,3.2588e-30,1
0.01021,-1,3.2813e-30,1
0.010211,-1,3.3041e-30,1
0.010212,-1,3.327e-30,1
0.010213,-1,3.3501e-30,1
0.010214,-1,3.3733e-30,1
0.010215,-1,3.3967e-30,1
0.010216,-1,3.4202e-30,1
0.010217,-1,3.4439e-30,1
0.010218,-1,3.4678e-30,1
0.010219,-1,3.4918e-30,1
0.01022,-1,3.516e-30,1
0.010221,-1,3.5404e-30,1
0.010222,-1,3.565e-30,1
0.010223,-1,3.5897e-30,1
0.010225,-1,3.6146e-30,1
0.010226,-1,3.6396e-30,1
0.010227,-1,3.6649e-30,1
0.010228,-1,3.6903e-30,1
0.010229,-1,3.7158e-30,1
0.01023,-1,3.7416e-30,1
0.010231,-1,3.7675e-30,1
0.010232,-1,3.7937e-30,1
0.010233,-1,3.82e-30,1
0.010234,-1,3.8464e-30,1
0.010235,-1,3.8731e-30,1
0.010236,-1,3.9e-30,1
0.010237,-1,3.927e-30,1
0.010238,-1,3.9542e-30,1
0.010239,-1,3.9816e-30,1
0.01024,-1,4.0092e-30,1
0.010241,-1,4.037e-30,1
0.010242,-1,4.065e-30,1
0.010243,-1,4.0932e-30,1
0.010244,-1,4.1216e-30,1
0.010245,-1,4.1501e-30,1
0.010246,-1,4.1789e-30,1
0.010248,-1,4.2079e-30,1
0.010249,-1,4.237e-30,1
0.01025,-1,4.2664e-30,1
0.010251,-1,4.296e-30,1
0.010252,-1,4.3258e-30,1
0.010253,-1,4.3558e-30,1
0.010254,-1,4.386e-30,1
0.010255,-1,4.4164e-30,1
0.010256,-1,4.447e-30,1
0.010257,-1,4.4778e-30,1
0.010258,-1,4.5088e-30,1
0.010259,-1,4.5401e-30,1
0.01026,-1,4.5716e-30,1
0.010261,-1,4.6033e-30,1
0.010262,-1,4.6352e-30,1
0.010263,-1,4.6673e-30,1
0.010264,-1,4.6997e-30,1
0.010265,-1,4.7322e-30,1
0.010266,-1,4.7651e-30,1
0.010267,-1,4.7981e-30,1
0.010268,-1,4.8313e-30,1
0.01027,-1,4.8648e-30,1
0.010271,-1,4.8986e-30,1
0.010272,-1,4.9325e-30,1
0.010273,-1,4.9667e-30,1
0.010274,-1,5.0012e-30,1
0.010275,-1,5.0358e-30,1
0.010276,-1,5.0707e-30,1
0.010277,-1,5.1059e-30,1
0.010278,-1,5.1413e-30,1
0.010279,-1,5.1769e-30,1
0.01028,-1,5.2128e-30,1
0.010281,-1,5.2489e-30,1
0.010282,-1,5.2853e-30,1
0.010283,-1,5.322e-30,1
0.010284,-1,5.3589e-30,1
0.010285,-1,5.396e-30,1
0.010286,-1,5.4334e-30,1
0.010287,-1,5.4711e-30,1
0.010288,-1,5.509e-30,1
0.01029,-1,5.5472e-30,1
0.010291,-1,5.5857e-30,1
0.010292,-1,5.6244e-30,1
0.010293,-1,5.6634e-30,1
0.010294,-1,5.7026e-30,1
0.010295,-1,5.7422e-30,1
0.010296,-1,5.782e-30,1
0.010297,-1,5.8221e-30,1
0.010298,-1,5.8624e-30,1
0.010299,-1,5.9031e-30,1
0.0103,-1,5.944e-30,1
0.010301,-1,5.9852e-30,1
0.010302,-1,6.0267e-30,1
0.010303,-1,6.0685e-30,1
0.010304,-1,6.1105e-30,1
0.010305,-1,6.1529e-30,1
0.010306,-1,6.1955e-30,1
0.010308,-1,6.2385e-30,1
0.010309,-1,6.2817e-30,1
0.01031,-1,6.3253e-30,1
0.010311,-1,6.3691e-30,1
0.010312,-1,6.4133e-30,1
0.010313,-1,6.4577e-30,1
0.010314,-1,6.5025e-30,1
0.010315,-1,6.5476e-30,1
0.010316,-1,6.593e-30,1
0.010317,-1,6.6387e-30,1
0.010318,-1,6.6847e-30,1
0.010319,-1,6.731e-30,1
0.01032,-1,6.7777e-30,1
0.010321,-1,6.8247e-30,1
0.010322,-1,6.872e-30,1
0.010323,-1,6.9196e-30,1
0.010324,-1,6.9676e-30,1
0.010326,-1,7.0159e-30,1
0.010327,-1,7.0646e-30,1
0.010328,-1,7.1135e-30,1
0.010329,-1,7.1628e-30,1
0.01033,-1,7.2125e-30,1
0.010331,-1,7.2625e-30,1
0.010332,-1,7.3128e-30,1
0.010333,-1,7.3635e-30,1
0.010334,-1,7.4146e-30,1
0.010335,-1,7.466e-30,1
0.010336,-1,7.5177e-30,1
0.010337,-1,7.5699e-30,1
0.010338,-1,7.6223e-30,1
0.010339,-1,7.6752e-30,1
0.01034,-1,7.7284e-30,1
0.010342,-1,7.782e-30,1
0.010343,-1,7.8359e-30,1
0.010344,-1,7.8902e-30,1
0.010345,-1,7.9449e-30,1
0.010346,-1,8e-30,1
0.010347,-1,8.0555e-30,1
0.010348,-1,8.1113e-30,1
0.010349,-1,8.1675e-30,1
0.01035,-1,8.2242e-30,1
0.010351,-1,8.2812e-30,1
0.010352,-1,8.3386e-30,1
0.010353,-1,8.3964e-30,1
0.010354,-1,8.4546e-30,1
0.010355,-1,8.5132e-30,1
0.010356,-1,8.5722e-30,1
0.010358,-1,8.6316e-30,1
0.010359,-1,8.6915e-30,1
0.01036,-1,8.7517e-30,1
0.010361,-1,8.8124e-30,1
0.010362,-1,8.8735e-30,1
0.010363,-1,8.935e-30,1
0.010364,-1,8.997e-30,1
0.010365,-1,9.0593e-30,1
0.010366,-1,9.1221e-30,1
0.010367,-1,9.1854e-30,1
0.010368,-1,9.249e-30,1
0.010369,-1,9.3132e-30,1
0.01037,-1,9.3777e-30,1
0.010371,-1,9.4427e-30,1
0.010373,-1,9.5082e-30,1
0.010374,-1,9.5741e-30,1
0.010375,-1,9.6405e-30,1
0.010376,-1,9.7073e-30,1
0.010377,-1,9.7746e-30,1
0.010378,-1,9.8424e-30,1
0.010379,-1,9.9106e-30,1
0.01038,-1,9.9793e-30,1
0.010381,-1,1.0048e-29,1
0.010382,-1,1.0118e-29,1
0.010383,-1,1.0188e-29,1
0.010384,-1,1.0259e-29,1
0.010385,-1,1.033e-29,1
0.010386,-1,1.0402e-29,1
0.010388,-1,1.0474e-29,1
0.010389,-1,1.0546e-29,1
0.01039,-1,1.0619e-29,1
0.010391,-1,1.0693e-29,1
0.010392,-1,1.0767e-29,1
0.010393,-1,1.0842e-29,1
0.010394,-1,1.0917e-29,1
0.010395,-1,1.0993e-29,1
0.010396,-1,1.1069e-29,1
0.010397,-1,1.1146e-29,1
0.010398,-1,1.1223e-29,1
0.010399,-1,1.1301e-29,1
0.0104,-1,1.1379e-29,1
0.010402,-1,1.1458e-29,1
0.010403,-1,1.1537e-29,1
0.010404,-1,1.1617e-29,1
0.010405,-1,1.1698e-29,1
0.010406,-1,1.1779e-29,1
0.010407,-1,1.1861e-29,1
0.010408,-1,1.1943e-29,1
0.010409,-1,1.2026e-29,1
0.01041,-1,1.2109e-29,1
0.010411,-1,1.2193e-29,1
0.010412,-1,1.2277e-29,1
0.010413,-1,1.2363e-29,1
0.010415,-1,1.2448e-29,1
0.010416,-1,1.2535e-29,1
0.010417,-1,1.2621e-29,1
0.010418,-1,1.2709e-29,1
0.010419,-1,1.2797e-29,1
0.01042,-1,1.2886e-29,1
0.010421,-1,1.2975e-29,1
0.010422,-1,1.3065e-29,1
0.010423,-1,1.3156e-29,1
0.010424,-1,1.3247e-29,1
